location_id,date,rainfall_mm,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,enso,iod,mjo_phase,mjo_amplitude,latitude,longitude,elevation_m,soil_code,normal_daily_rain_mm,enso_current,enso_lag_7d,enso_rolling_7d,iod_current,iod_lag_7d,iod_rolling_7d,mjo_sin,mjo_cos,rain_lag_1d,rain_lag_3d,rain_acc_7d,rain_acc_14d,rain_acc_30d,dry_days_prev_7d,dry_days_prev_14d,wet_days_prev_7d,rainfall_anomaly_pct,temp_anomaly_c,doy_sin,doy_cos,target_onset_7d,target_false_onset_7d,target_dry_spell_7d,target_heavy_rain_7d,imd_heavy_category_7d,target_rainfall_mm_7d,target_anomaly_pct_7d,target_onset_14d,target_false_onset_14d,target_dry_spell_14d,target_heavy_rain_14d,imd_heavy_category_14d,target_rainfall_mm_14d,target_anomaly_pct_14d,target_onset_21d,target_false_onset_21d,target_dry_spell_21d,target_heavy_rain_21d,imd_heavy_category_21d,target_rainfall_mm_21d,target_anomaly_pct_21d,target_onset_30d,target_false_onset_30d,target_dry_spell_30d,target_heavy_rain_30d,imd_heavy_category_30d,target_rainfall_mm_30d,target_anomaly_pct_30d
phulpur,2019-05-04,0.0,32.1,51.0,994.4,19.9,0.71,0.34,8,0.85,25.55,82.09,94.0,2,8.4,0.71,0.82,0.7571428571428571,0.34,0.29,0.31857142857142856,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,10.1,7.0,14.0,0.0,-100.0,0.020000000000003126,0.8460288880917339,-0.533137056031809,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
soraon,2019-05-04,0.0,32.1,50.9,994.3,19.9,0.71,0.34,8,0.85,25.6,81.85,95.0,1,8.8,0.71,0.82,0.7571428571428571,0.34,0.29,0.31857142857142856,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,9.8,7.0,14.0,0.0,-100.0,0.036666666666668846,0.8460288880917339,-0.533137056031809,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
bara,2019-05-05,0.0,32.7,30.3,993.8,21.6,0.71,0.34,8,0.92,25.25,81.73,108.0,3,8.2,0.71,0.82,0.7414285714285713,0.34,0.29,0.32571428571428573,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.999999999999998,7.0,14.0,0.0,-100.0,0.5600000000000023,0.8367329140344921,-0.5476112038402312,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
chaka,2019-05-05,0.0,32.7,30.2,995.0,21.3,0.71,0.34,8,0.92,25.39,81.86,97.0,2,8.5,0.71,0.82,0.7414285714285713,0.34,0.29,0.32571428571428573,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.7,7.0,14.0,0.0,-100.0,0.5266666666666708,0.8367329140344921,-0.5476112038402312,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
handia,2019-05-05,0.0,32.7,30.6,995.6,21.1,0.71,0.34,8,0.92,25.38,82.18,91.0,1,8.7,0.71,0.82,0.7414285714285713,0.34,0.29,0.32571428571428573,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.399999999999999,7.0,14.0,0.0,-100.0,0.4833333333333343,0.8367329140344921,-0.5476112038402312,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
karchhana,2019-05-05,0.0,32.7,30.5,995.1,21.2,0.71,0.34,8,0.92,25.28,81.94,96.0,1,8.6,0.71,0.82,0.7414285714285713,0.34,0.29,0.32571428571428573,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.2,7.0,14.0,0.0,-100.0,0.4933333333333323,0.8367329140344921,-0.5476112038402312,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
koraon,2019-05-05,0.0,32.6,31.1,990.0,22.7,0.71,0.34,8,0.92,24.98,82.06,142.0,4,7.9,0.71,0.82,0.7414285714285713,0.34,0.29,0.32571428571428573,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.1,7.0,14.0,0.0,-100.0,0.5799999999999983,0.8367329140344921,-0.5476112038402312,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
meja,2019-05-05,0.0,32.7,31.0,992.7,21.9,0.71,0.34,8,0.92,25.14,82.12,118.0,3,8.1,0.71,0.82,0.7414285714285713,0.34,0.29,0.32571428571428573,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.999999999999998,7.0,14.0,0.0,-100.0,0.5633333333333326,0.8367329140344921,-0.5476112038402312,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
phulpur,2019-05-05,0.0,32.6,30.3,995.3,21.2,0.71,0.34,8,0.92,25.55,82.09,94.0,2,8.4,0.71,0.82,0.7414285714285713,0.34,0.29,0.32571428571428573,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,10.1,7.0,14.0,0.0,-100.0,0.4766666666666737,0.8367329140344921,-0.5476112038402312,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
soraon,2019-05-05,0.0,32.6,29.9,995.2,21.2,0.71,0.34,8,0.92,25.6,81.85,95.0,1,8.8,0.71,0.82,0.7414285714285713,0.34,0.29,0.32571428571428573,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,9.8,7.0,14.0,0.0,-100.0,0.4933333333333323,0.8367329140344921,-0.5476112038402312,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
bara,2019-05-06,0.0,33.8,14.7,991.6,25.0,0.71,0.34,8,0.98,25.25,81.73,108.0,3,8.2,0.71,0.82,0.7257142857142856,0.34,0.29,0.33285714285714285,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,7.699999999999998,7.0,14.0,0.0,-100.0,1.5166666666666657,0.8271893372462497,-0.5619233046832195,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
chaka,2019-05-06,0.0,33.9,14.9,992.8,24.6,0.71,0.34,8,0.98,25.39,81.86,97.0,2,8.5,0.71,0.82,0.7257142857142856,0.34,0.29,0.33285714285714285,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,7.300000000000001,7.0,14.0,0.0,-100.0,1.5799999999999983,0.8271893372462497,-0.5619233046832195,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
handia,2019-05-06,0.0,33.9,15.3,993.4,24.4,0.71,0.34,8,0.98,25.38,82.18,91.0,1,8.7,0.71,0.82,0.7257142857142856,0.34,0.29,0.33285714285714285,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,6.899999999999999,7.0,14.0,0.0,-100.0,1.5399999999999991,0.8271893372462497,-0.5619233046832195,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
karchhana,2019-05-06,0.0,33.8,15.0,992.9,24.5,0.71,0.34,8,0.98,25.28,81.94,96.0,1,8.6,0.71,0.82,0.7257142857142856,0.34,0.29,0.33285714285714285,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,7.1,7.0,14.0,0.0,-100.0,1.4533333333333331,0.8271893372462497,-0.5619233046832195,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
koraon,2019-05-06,0.0,33.5,15.1,987.8,26.2,0.71,0.34,8,0.98,24.98,82.06,142.0,4,7.9,0.71,0.82,0.7257142857142856,0.34,0.29,0.33285714285714285,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,7.6,7.0,14.0,0.0,-100.0,1.346666666666664,0.8271893372462497,-0.5619233046832195,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
